Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,AIS Rank,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Review of Finance,REV FINANC,OXFORD UNIV PRESS,1572-3097,1573-692X,ECONOMICS,SSCI,4778,8.4,Q1,2.02,31.01%,15/617,7.8,Q1,8.4,0.5,28/617,Q1,95.54,0.01072,2.3866,5.408,97.6,Q1,23/575,46,100.00%,7.2,12.1,46
North American Journal of Economics and Finance,N AM J ECON FINANC,ELSEVIER SCIENCE INC,1062-9408,1879-0860,ECONOMICS,SSCI,4765,3.9,Q1,1.22,10.62%,77/617,3.7,Q1,3.4,0.7,99/617,Q1,84.04,0.00484,1.07696,0.601,87.6,Q2,239/575,222,98.65%,3.9,6.9,219
LABOUR ECONOMICS,LABOUR ECON,ELSEVIER,2509-8020,1879-1034,ECONOMICS,SSCI,4750,2.6,Q1,0.75,43.56%,145/617,3.1,Q1,2.5,0.3,196/617,Q2,68.31,0.00783,1.74234,1.785,76.6,Q1,79/575,132,100.00%,8.4,9.4,132
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,OXFORD B ECON STAT,WILEY,0305-9049,1468-0084,ECONOMICS,SSCI,4733,1.4,Q3,0.56,48.37%,309/617,2.3,Q2,1.4,0.3,267/617,Q2,56.81,0.00302,0.67223,1.233,50,Q1,114/575,53,100.00%,17.1,10.7,53
INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,ELSEVIER,2399-6641,1873-5959,ECONOMICS,SSCI,4713,2.2,Q2,0.8,26.32%,189/617,2.3,Q2,1.9,0.4,175/617,Q2,71.72,0.0035,0.77978,0.9,69.4,Q2,162/575,84,98.81%,11,11.6,83
JOURNAL OF COMPARATIVE ECONOMICS,J COMP ECON,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-5967,1095-7227,ECONOMICS,SSCI,4649,3.1,Q1,1.01,20.83%,117/617,3.8,Q1,3,0.6,130/617,Q1,79.01,0.00323,0.71921,1.493,81.1,Q1,96/575,48,100.00%,10.5,10.6,48
Journal of Financial Stability,J FINANC STABIL,ELSEVIER SCIENCE INC,1572-3089,1878-0962,ECONOMICS,SSCI,4488,4.2,Q1,1.59,19.05%,68/617,6,Q1,3.8,1.2,58/617,Q1,90.68,0.00372,0.828,1.423,89.1,Q1,101/575,119,100.00%,6.3,9.2,119
Annual Review of Economics,ANNU REV ECON,ANNUAL REVIEWS,2624-9634,1941-1391,ECONOMICS,SSCI,4469,11.4,Q1,2.36,41.67%,5/617,12.2,Q1,11.4,1.5,17/617,Q1,97.33,0.01438,3.20099,12.056,99.3,Q1,9/575,23,47.83%,7.6,8.2,11
American Economic Journal-Macroeconomics,AM ECON J-MACROECON,AMER ECONOMIC ASSOC,2188-5729,1945-7715,ECONOMICS,SSCI,4410,5.7,Q1,2.21,0.00%,41/617,7.4,Q1,5.7,1.5,18/617,Q1,97.16,0.01496,3.33014,8.199,93.4,Q1,15/575,50,100.00%,7.8,10.9,50
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,REV INT POLIT ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2575-8314,1466-4526,ECONOMICS,SSCI,4393,3.5,Q1,1.66,57.46%,93/617,5.3,Q1,3.1,0.5,54/617,Q1,91.33,0.00736,1.63802,2.229,85,Q1,56/575,51,100.00%,5.9,6.9,51
European Journal of Political Economy,EUR J POLIT ECON,ELSEVIER SCIENCE INC,1365-2907,1873-5703,ECONOMICS,SSCI,4380,2.4,Q2,0.98,35.78%,160/617,3,Q2,1.9,0.7,133/617,Q1,78.53,0.00399,0.88848,1.066,74.1,Q1,138/575,113,98.23%,9.6,9.6,111
INDUSTRIAL AND CORPORATE CHANGE,IND CORP CHANGE,OXFORD UNIV PRESS,2213-5383,1464-3650,ECONOMICS,SSCI,4338,1.8,Q2,0.64,27.42%,234/617,3,Q2,1.7,0.6,238/617,Q2,61.51,0.00307,0.68322,1.012,62.2,Q2,145/575,44,100.00%,11.5,12.5,44
Tourism Economics,TOURISM ECON,SAGE PUBLICATIONS LTD,1354-8166,2044-0375,ECONOMICS,SSCI,4226,3.2,Q1,0.96,11.86%,111/617,4.6,Q1,2.6,0.6,138/617,Q1,77.71,0.00315,0.70102,0.742,82.1,Q2,195/575,89,97.75%,4.9,7,87
MANAGERIAL AND DECISION ECONOMICS,MANAG DECIS ECON,JOHN WILEY & SONS LTD,0143-6570,1099-1468,ECONOMICS,SSCI,4177,2.7,Q1,0.75,9.12%,139/617,2.6,Q2,2.1,0.7,196/617,Q2,68.31,0.00325,0.72529,0.399,77.6,Q3,318/575,385,100.00%,3.5,6,385
European Journal of Health Economics,EUR J HEALTH ECON,SPRINGER,2572-3170,1618-7601,ECONOMICS,SSCI,4070,3,Q1,1.02,66.45%,125/617,3.8,Q1,2.9,0.4,129/617,Q1,79.17,0.00584,1.30083,1.254,79.8,Q1,111/575,94,98.94%,5.5,7.6,93
Journal of Empirical Finance,J EMPIR FINANC,ELSEVIER,2574-2531,1879-1727,ECONOMICS,SSCI,3931,2.4,Q2,0.76,21.20%,160/617,3.3,Q1,2.3,0.4,192/617,Q2,68.96,0.00281,0.62686,0.966,74.1,Q2,153/575,79,100.00%,9.1,12.9,79
International Journal of Emerging Markets,INT J EMERG MARK,EMERALD GROUP PUBLISHING LTD,2661-8001,1746-8817,ECONOMICS,SSCI,3851,3,Q1,0.77,4.20%,125/617,3.4,Q1,2.9,0.5,189/617,Q2,69.45,0.00342,0.76225,0.458,79.8,Q3,293/575,98,97.96%,3.5,6,96
Cogent Economics & Finance,COGENT ECON FINANC,TAYLOR & FRANCIS LTD,2332-2039,2332-2039,ECONOMICS,ESCI,3830,2.5,Q1,0.76,97.92%,153/617,2.5,Q2,2.3,0.6,192/617,Q2,68.96,0.00301,0.67086,0.319,75.3,Q3,369/575,310,95.16%,2.9,7,295
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,BROOKINGS PAP ECO AC,JOHNS HOPKINS UNIV PRESS,0007-2303,1533-4465,ECONOMICS,SSCI,3790,2.8,Q1,0.55,0.00%,136/617,5.4,Q1,2.8,0.7,272/617,Q2,56,0.00479,1.06683,5.322,78,Q1,24/575,6,100.00%,15.2,6.5,6
QUARTERLY REVIEW OF ECONOMICS AND FINANCE,Q REV ECON FINANC,ELSEVIER SCIENCE INC,2192-1709,1878-4259,ECONOMICS,SSCI,3785,3.1,Q1,1.26,13.13%,117/617,3.2,Q1,3,0.6,95/617,Q1,84.68,0.00284,0.63206,0.547,81.1,Q2,260/575,108,99.07%,4.9,10.7,107
ECONOMIC INQUIRY,ECON INQ,WILEY,2381-4683,1465-7295,ECONOMICS,SSCI,3755,1.3,Q3,0.46,44.10%,332/617,1.7,Q2,1.2,0.3,314/617,Q3,49.19,0.00353,0.78607,0.941,46.3,Q2,156/575,70,100.00%,11.7,10,70
QUANTITATIVE FINANCE,QUANT FINANC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1469-7688,1469-7696,ECONOMICS,SSCI,3747,1.4,Q3,0.44,23.89%,309/617,2.1,Q2,1.2,0.4,325/617,Q3,47.41,0.00395,0.88056,0.847,50,Q2,173/575,99,100.00%,8.4,12.1,99
CAMBRIDGE JOURNAL OF ECONOMICS,CAMB J ECON,OXFORD UNIV PRESS,0309-166X,1464-3545,ECONOMICS,SSCI,3713,2.1,Q2,0.67,24.12%,202/617,2.2,Q2,1.9,0.4,221/617,Q2,64.26,0.00206,0.45979,0.815,67.3,Q2,184/575,47,100.00%,13.4,18.3,47
JOURNAL OF POPULATION ECONOMICS,J POPUL ECON,SPRINGER,0933-1433,1432-1475,ECONOMICS,SSCI,3324,3,Q1,1.44,47.95%,125/617,4.3,Q1,2.6,0.4,73/617,Q1,88.25,0.00343,0.76411,1.652,79.8,Q1,85/575,78,100.00%,9.3,8.9,78
Journal of Behavioral and Experimental Finance,J BEHAV EXP FINANC,ELSEVIER,2214-6350,2214-6369,ECONOMICS,SSCI,3296,4.7,Q1,1.21,34.06%,55/617,5,Q1,4.4,0.7,101/617,Q1,83.71,0.00336,0.74785,0.998,91.2,Q2,148/575,99,100.00%,4.4,9.3,99
JOURNAL OF ECONOMIC HISTORY,J ECON HIST,CAMBRIDGE UNIV PRESS,2673-4524,1471-6372,ECONOMICS,SSCI,3287,2.9,Q1,5.12,51.04%,129/617,3.1,Q1,2.7,0.5,1/617,Q1,99.92,0.0034,0.75805,2.782,79.2,Q1,45/575,35,100.00%,21.8,16.3,35
Emerging Markets Review,EMERG MARK REV,ELSEVIER,1566-0141,1873-6173,ECONOMICS,SSCI,3273,4.6,Q1,1.67,13.55%,58/617,5.1,Q1,4.3,0.9,52/617,Q1,91.65,0.00252,0.56221,0.908,90.7,Q2,160/575,98,98.98%,5.1,9.2,97
ENERGY JOURNAL,ENERG J,SAGE PUBLICATIONS INC,2730-6151,1944-9089,ECONOMICS,SSCI,3266,2.4,Q2,0.67,10.73%,160/617,2.6,Q2,2.1,0.9,221/617,Q2,64.26,0.00202,0.45106,0.673,74.1,Q2,211/575,88,100.00%,8.6,7.7,88
NEW POLITICAL ECONOMY,NEW POLIT ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1356-3467,1469-9923,ECONOMICS,SSCI,3257,4.6,Q1,1.72,67.53%,58/617,5,Q1,4.4,0.7,45/617,Q1,92.79,0.00528,1.17552,1.961,90.7,Q1,71/575,51,100.00%,5.1,7,51
ECONOMY AND SOCIETY,ECON SOC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2590-2296,1469-5766,ECONOMICS,SSCI,3221,4.3,Q1,1.37,61.45%,65/617,4.9,Q1,4.1,1.1,81/617,Q1,86.95,0.00257,0.57233,2.17,89.5,Q1,60/575,31,100.00%,14.6,7.3,31
JOURNAL OF REGIONAL SCIENCE,J REGIONAL SCI,WILEY,2976-5390,1467-9787,ECONOMICS,SSCI,3212,2.7,Q1,0.7,38.56%,139/617,3.1,Q1,2.3,0.3,212/617,Q2,65.72,0.00179,0.40048,0.982,77.6,Q2,150/575,66,100.00%,12.7,9.7,66
JOURNAL OF ECONOMIC GROWTH,J ECON GROWTH,SPRINGER,1381-4338,1573-7020,ECONOMICS,SSCI,3192,2.9,Q1,0.77,61.70%,129/617,3.8,Q1,2.8,0.6,189/617,Q2,69.45,0.00133,0.29745,2.256,79.2,Q1,54/575,10,100.00%,17.4,11.4,10
WORLD BANK ECONOMIC REVIEW,WORLD BANK ECON REV,OXFORD UNIV PRESS,2204-3136,1564-698X,ECONOMICS,SSCI,3177,1.8,Q2,0.68,27.07%,234/617,3.2,Q1,1.7,0.3,218/617,Q2,64.75,0.00346,0.77041,1.889,62.2,Q1,74/575,61,100.00%,13.8,9,61
OXFORD REVIEW OF ECONOMIC POLICY,OXFORD REV ECON POL,OXFORD UNIV PRESS,2572-2611,1460-2121,ECONOMICS,SSCI,3157,1.8,Q2,0.73,35.90%,234/617,3.9,Q1,1.8,1.6,204/617,Q2,67.02,0.00335,0.74723,1.707,62.2,Q1,83/575,48,100.00%,10,7.1,48
ECONOMETRIC THEORY,ECONOMET THEOR,CAMBRIDGE UNIV PRESS,2639-5916,1469-4360,ECONOMICS,SSCI,3089,1,Q3,0.36,26.96%,391/617,1.4,Q3,0.9,0.2,384/617,Q3,37.84,0.00353,0.78702,2.053,36.7,Q1,67/575,33,100.00%,20.2,16.9,33
Research in Transportation Economics,RES TRANSP ECON,ELSEVIER SCI LTD,2056-3485,1875-7979,ECONOMICS,SSCI,3088,3.4,Q1,1.16,31.92%,97/617,3.6,Q1,3.3,1,106/617,Q1,82.9,0.00248,0.55326,0.715,84.4,Q2,201/575,49,100.00%,5.3,6.8,49
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,J POLICY ANAL MANAG,WILEY,1520-6688,1520-6688,ECONOMICS,SSCI,3075,2.4,Q2,0.93,29.19%,160/617,4.1,Q1,2.3,0.4,147/617,Q1,76.26,0.00484,1.07837,2.935,74.1,Q1,42/575,65,98.46%,11.1,7.9,64
Socio-Economic Review,SOCIO-ECON REV,OXFORD UNIV PRESS,2642-0007,1475-147X,ECONOMICS,SSCI,3055,2.6,Q1,1.36,45.02%,145/617,3.7,Q1,2.3,0.6,83/617,Q1,86.63,0.00466,1.03863,1.727,76.6,Q1,81/575,80,97.50%,7.2,9.6,78
JOURNAL OF FORECASTING,J FORECASTING,WILEY,0277-6693,1099-131X,ECONOMICS,SSCI,3044,2.7,Q1,0.81,24.15%,139/617,2.9,Q2,2.3,0.4,170/617,Q2,72.53,0.00225,0.50276,0.615,77.6,Q2,235/575,183,100.00%,6.8,9.4,183
JOURNAL OF POLICY MODELING,J POLICY MODEL,ELSEVIER SCIENCE INC,2767-3200,1873-8060,ECONOMICS,SSCI,3043,3.1,Q1,1.04,21.18%,117/617,3.3,Q1,2.6,1,125/617,Q1,79.82,0.00194,0.43249,0.681,81.1,Q2,208/575,68,100.00%,7.3,8.3,68
JOURNAL OF AGRICULTURAL ECONOMICS,J AGR ECON,WILEY,0021-857X,1477-9552,ECONOMICS,SSCI,2985,4.2,Q1,1.28,63.16%,68/617,4.4,Q1,4.1,1.1,89/617,Q1,85.66,0.00194,0.432,1.007,89.1,Q2,146/575,33,100.00%,8.9,7.9,33
Borsa Istanbul Review,BORSA ISTANB REV,ELSEVIER,2214-8450,2214-8469,ECONOMICS,SSCI,2947,7.1,Q1,2.15,99.71%,17/617,6.3,Q1,6.7,1.8,21/617,Q1,96.68,0.00228,0.50767,0.834,97.3,Q2,178/575,124,94.35%,2.7,7.8,117
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INT J IND ORGAN,ELSEVIER,0167-7187,1873-7986,ECONOMICS,SSCI,2910,1.4,Q3,0.44,25.64%,309/617,1.7,Q2,1.4,0.3,325/617,Q3,47.41,0.00221,0.49232,0.9,50,Q2,162/575,40,97.50%,14.9,11.5,39
JOURNAL OF RISK AND UNCERTAINTY,J RISK UNCERTAINTY,SPRINGER,0895-5646,1573-0476,ECONOMICS,SSCI,2882,2.3,Q2,0.55,56.58%,175/617,2.8,Q2,2,0.6,272/617,Q2,56,0.00149,0.33325,1.606,71.7,Q1,90/575,27,88.89%,22.8,13,24
PAPERS IN REGIONAL SCIENCE,PAP REG SCI,ELSEVIER SCI LTD,2673-7086,1435-5957,ECONOMICS,SSCI,2881,2.3,Q2,0.64,93.08%,175/617,2.7,Q2,1.9,0.7,238/617,Q2,61.51,0.00178,0.3961,0.64,71.7,Q2,224/575,44,100.00%,9.2,9.6,44
Economies,ECONOMIES,MDPI,2227-7099,2227-7099,ECONOMICS,ESCI,2881,2.1,Q2,0.72,100.00%,202/617,2.3,Q2,1.9,0.5,208/617,Q2,66.37,0.00284,0.63316,0.343,67.3,Q3,354/575,352,96.59%,3,6.6,340
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,ECON DEV CULT CHANGE,UNIV CHICAGO PRESS,0013-0079,1539-2988,ECONOMICS,SSCI,2872,1.8,Q2,1.28,4.51%,234/617,2.1,Q2,1.7,0.7,89/617,Q1,85.66,0.00188,0.42003,1.2,62.2,Q1,121/575,63,100.00%,19.3,11.2,63
ECONOMICA,ECONOMICA,WILEY,2076-3387,1468-0335,ECONOMICS,SSCI,2867,1.6,Q2,0.49,53.85%,276/617,1.9,Q2,1.6,0.6,298/617,Q2,51.78,0.00201,0.44745,1.173,55.3,Q1,125/575,51,100.00%,16,9.8,51
ECONOMIC HISTORY REVIEW,ECON HIST REV,WILEY,2399-4908,1468-0289,ECONOMICS,SSCI,2808,1.6,Q2,2.57,58.43%,276/617,2.3,Q2,1.2,0.4,11/617,Q1,98.3,0.00293,0.65212,1.379,55.3,Q1,104/575,61,85.25%,15.2,18,52
OXFORD ECONOMIC PAPERS-NEW SERIES,OXFORD ECON PAP,OXFORD UNIV PRESS,2673-5172,1464-3812,ECONOMICS,SSCI,2806,1.1,Q3,0.33,27.95%,372/617,1.3,Q3,1.1,0.4,405/617,Q3,34.44,0.00139,0.30941,0.54,39.8,Q2,264/575,50,100.00%,18.4,9.9,50
JOURNAL OF CONSUMER AFFAIRS,J CONSUM AFF,WILEY,0022-0078,1745-6606,ECONOMICS,SSCI,2755,3.2,Q1,0.73,37.58%,111/617,3.1,Q1,2.8,0.3,204/617,Q2,67.02,0.00179,0.39893,0.681,82.1,Q2,208/575,37,100.00%,9.2,7.7,37
LAND ECONOMICS,LAND ECON,UNIV WISCONSIN PRESS,2730-7182,1543-8325,ECONOMICS,SSCI,2728,1.6,Q2,0.42,14.02%,276/617,1.7,Q2,1.5,0.9,335/617,Q3,45.79,0.00087,0.19391,0.577,55.3,Q2,246/575,35,100.00%,16.7,10.4,35
Econometric Reviews,ECONOMET REV,TAYLOR & FRANCIS INC,0747-4938,1532-4168,ECONOMICS,SSCI,2724,1,Q3,0.39,22.32%,391/617,1.6,Q3,0.9,0.1,360/617,Q3,41.73,0.00208,0.46312,1.126,36.7,Q1,131/575,50,100.00%,14.1,16.4,50
Applied Economic Perspectives and Policy,APPL ECON PERSPECT P,WILEY,2040-5790,2040-5804,ECONOMICS,SSCI,2699,3.4,Q1,1.39,47.31%,97/617,4.4,Q1,3.1,0.7,79/617,Q1,87.28,0.00373,0.83162,1.105,84.4,Q1,133/575,75,100.00%,4.3,6.7,75
JOURNAL OF PRODUCTIVITY ANALYSIS,J PROD ANAL,SPRINGER,2590-051X,1573-0441,ECONOMICS,SSCI,2692,1.8,Q2,0.55,40.17%,234/617,1.9,Q2,1.6,0.3,272/617,Q2,56,0.00058,0.12929,0.451,62.2,Q3,296/575,26,100.00%,16.2,13.4,26
REVIEW OF ECONOMIC DYNAMICS,REV ECON DYNAM,ACADEMIC PRESS INC ELSEVIER SCIENCE,2572-3170,1096-6099,ECONOMICS,SSCI,2668,2.1,Q2,0.73,12.57%,202/617,2.2,Q2,2.1,0.2,204/617,Q2,67.02,0.00561,1.2492,2.096,67.3,Q1,64/575,30,100.00%,10.5,11.3,30
Cambridge Journal of Regions Economy and Society,CAMB J REG ECON SOC,OXFORD UNIV PRESS,1752-1378,1752-1386,ECONOMICS,SSCI,2627,4.7,Q1,1.35,51.38%,55/617,5.7,Q1,4.5,1.5,85/617,Q1,86.3,0.00251,0.55956,1.989,91.2,Q1,69/575,34,100.00%,6.9,5.8,34
Industry and Innovation,IND INNOV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2639-5916,1469-8390,ECONOMICS,SSCI,2568,4.2,Q1,1.03,39.07%,68/617,4.5,Q1,3.8,0.4,127/617,Q1,79.5,0.00243,0.54139,1.162,89.1,Q1,127/575,60,100.00%,6.6,9.8,60
ANNALS OF REGIONAL SCIENCE,ANN REGIONAL SCI,SPRINGER,2050-3385,1432-0592,ECONOMICS,SSCI,2558,2.1,Q2,0.59,40.45%,202/617,2.2,Q2,1.9,0.3,258/617,Q2,58.27,0.00139,0.3112,0.521,67.3,Q2,274/575,69,100.00%,9.9,11.4,69
EXPERIMENTAL ECONOMICS,EXP ECON,CAMBRIDGE UNIV PRESS,1386-4157,1573-6938,ECONOMICS,SSCI,2531,1.7,Q2,0.56,58.42%,260/617,2.6,Q2,1.7,0.6,267/617,Q2,56.81,0.005,1.11363,2.661,57.9,Q1,49/575,29,100.00%,12.9,12.6,29
RESOURCE AND ENERGY ECONOMICS,RESOUR ENERGY ECON,ELSEVIER,2405-9188,1873-0221,ECONOMICS,SSCI,2512,3.1,Q1,0.67,41.41%,117/617,3.5,Q1,3.1,1.1,221/617,Q2,64.26,0.00166,0.36966,1.036,81.1,Q1,142/575,24,95.83%,10.8,10.4,23
Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,VILNIUS GEDIMINAS TECH UNIV,2029-4913,2029-4921,ECONOMICS,SSCI,2453,3.9,Q1,1.49,99.21%,77/617,3.8,Q1,3.5,0.6,68/617,Q1,89.06,0.00149,0.33173,0.541,87.6,Q2,263/575,90,100.00%,5.2,5,90
Review of Environmental Economics and Policy,REV ENV ECON POLICY,UNIV CHICAGO PRESS,2398-631X,1750-6824,ECONOMICS,SSCI,2428,6.6,Q1,1.89,5.26%,26/617,9.5,Q1,6.5,1.4,31/617,Q1,95.06,0.00293,0.65275,3.676,95.9,Q1,34/575,18,100.00%,7.3,8.4,18
MATHEMATICAL FINANCE,MATH FINANC,WILEY,0960-1627,1467-9965,ECONOMICS,SSCI,2414,2.4,Q2,0.73,44.33%,160/617,2.4,Q2,2.4,0.4,204/617,Q2,67.02,0.00266,0.59257,1.575,74.1,Q1,93/575,21,100.00%,17.8,9.7,21
FEMINIST ECONOMICS,FEM ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1354-5701,1466-4372,ECONOMICS,SSCI,2407,2,Q2,1.33,24.24%,212/617,3.8,Q1,1.9,0.4,87/617,Q1,85.98,0.0018,0.40064,1.232,65.7,Q1,115/575,32,100.00%,10.4,9.6,32
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,J ECON MANAGE STRAT,WILEY,2634-4505,1530-9134,ECONOMICS,SSCI,2403,1.4,Q3,0.36,44.09%,309/617,1.9,Q2,1.3,0.6,384/617,Q3,37.84,0.0021,0.46739,1.141,50,Q1,130/575,46,97.83%,13.5,12.2,45
INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,INT J SOC ECON,EMERALD GROUP PUBLISHING LTD,1947-2579,1758-6712,ECONOMICS,ESCI,2402,1.7,Q2,0.57,2.72%,260/617,2,Q2,1.5,0.3,262/617,Q2,57.62,0.0013,0.29047,0.298,57.9,Q3,377/575,116,99.14%,6.3,7.2,115
Review of Development Economics,REV DEV ECON,WILEY,2673-611X,1467-9361,ECONOMICS,SSCI,2380,2.2,Q2,0.66,26.18%,189/617,2.2,Q2,2,0.4,231/617,Q2,62.64,0.00191,0.4255,0.465,69.4,Q3,290/575,97,100.00%,6.2,8.5,97
Applied Health Economics and Health Policy,APPL HEALTH ECON HEA,SPRINGER INT PUBL AG,2381-4683,1179-1896,ECONOMICS,SSCI,2326,3.3,Q1,1,52.91%,104/617,3.3,Q1,3.1,0.5,131/617,Q1,78.85,0.00327,0.72937,1.143,83.2,Q1,129/575,74,74.32%,5.5,6.6,55
Annual Review of Resource Economics,ANNU REV RESOUR ECON,ANNUAL REVIEWS,2373-7492,1941-1359,ECONOMICS,SSCI,2316,8.4,Q1,1.54,41.10%,15/617,8.8,Q1,8.2,0.5,62/617,Q1,90.03,0.0031,0.69182,3.173,97.6,Q1,38/575,18,33.33%,6.2,7.6,6
ECONOMIC THEORY,ECON THEOR,SPRINGER,0938-2259,1432-0479,ECONOMICS,SSCI,2299,1.1,Q3,0.43,37.50%,372/617,1.2,Q3,0.7,0.3,332/617,Q3,46.27,0.00288,0.64222,0.832,39.8,Q2,180/575,83,100.00%,14.1,15.1,83
Computational Economics,COMPUT ECON,SPRINGER,2564-1891,1572-9974,ECONOMICS,SSCI,2293,2.2,Q2,0.64,20.00%,189/617,2.1,Q2,1.8,0.3,238/617,Q2,61.51,0.00253,0.56359,0.417,69.4,Q3,309/575,288,100.00%,4.2,7.9,288
Econometrics Journal,ECONOMET J,OXFORD UNIV PRESS,2368-7460,1368-423X,ECONOMICS,SSCI,2274,7,Q1,1.43,20.78%,20/617,4.6,Q1,6.9,0.9,74/617,Q1,88.09,0.00463,1.03029,3.933,96.8,Q1,30/575,22,95.45%,7,11.4,21
SOUTHERN ECONOMIC JOURNAL,SOUTH ECON J,WILEY,2192-4007,2325-8012,ECONOMICS,SSCI,2244,1.4,Q3,0.53,28.57%,309/617,1.4,Q3,1.3,0.2,288/617,Q2,53.4,0.0014,0.31345,0.628,50,Q2,230/575,64,100.00%,17.2,10.8,64
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,CAN J ECON,WILEY,2688-8319,1540-5982,ECONOMICS,SSCI,2243,1.1,Q3,0.36,26.42%,372/617,1.4,Q3,1.1,0.4,384/617,Q3,37.84,0.0021,0.46756,0.872,39.8,Q2,171/575,45,100.00%,13.6,11.3,45
Journal of Family and Economic Issues,J FAM ECON ISS,SPRINGER INT PUBL AG,1058-0476,1573-3475,ECONOMICS,SSCI,2241,2.9,Q1,0.96,28.06%,129/617,3.1,Q1,2.6,0.2,138/617,Q1,77.71,0.00199,0.44335,0.762,79.2,Q2,189/575,69,100.00%,6.5,8.5,69
Journal of Asian Economics,J ASIAN ECON,ELSEVIER,2590-2296,1873-7927,ECONOMICS,SSCI,2233,3.4,Q1,1.04,4.25%,97/617,3.5,Q1,3.2,0.6,125/617,Q1,79.82,0.00181,0.40329,0.652,84.4,Q2,219/575,120,100.00%,4.4,7.7,120
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,EUR REV AGRIC ECON,OXFORD UNIV PRESS,2976-5390,1464-3618,ECONOMICS,SSCI,2230,3.5,Q1,1.27,27.78%,93/617,4.3,Q1,3.3,0.3,91/617,Q1,85.33,0.00222,0.49607,1.176,85,Q1,124/575,34,94.12%,6.7,8.7,32
Economics & Human Biology,ECON HUM BIOL,ELSEVIER,1570-677X,1873-6130,ECONOMICS,SSCI,2224,1.8,Q2,0.67,42.12%,234/617,2.2,Q2,1.7,0.3,221/617,Q2,64.26,0.00313,0.69801,0.845,62.2,Q2,175/575,82,97.56%,6.2,9.3,80
Economics of Innovation and New Technology,ECON INNOV NEW TECH,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2692-4366,1476-8364,ECONOMICS,SSCI,2217,2.6,Q1,0.8,20.90%,145/617,3.3,Q1,2.4,0.5,175/617,Q2,71.72,0.00142,0.31662,0.669,76.6,Q2,213/575,55,100.00%,7.8,9.5,55
REVIEW OF INCOME AND WEALTH,REV INCOME WEALTH,WILEY,2603-6479,1475-4991,ECONOMICS,SSCI,2213,1.8,Q2,0.59,51.91%,234/617,2.2,Q2,1.7,0.3,258/617,Q2,58.27,0.00216,0.48137,1.041,62.2,Q1,141/575,46,97.83%,10.6,8.4,45
JOURNAL OF MACROECONOMICS,J MACROECON,ELSEVIER,0164-0704,1873-152X,ECONOMICS,SSCI,2191,1.5,Q2,0.48,18.75%,293/617,1.8,Q2,1.4,0.6,302/617,Q2,51.13,0.00154,0.34272,0.575,52.6,Q2,249/575,34,100.00%,9.2,10.9,34
JOURNAL OF LAW ECONOMICS & ORGANIZATION,J LAW ECON ORGAN,OXFORD UNIV PRESS INC,8756-6222,1465-7341,ECONOMICS,SSCI,2148,1.3,Q3,1,12.94%,332/617,1.7,Q2,1.3,0.3,131/617,Q1,78.85,0.00153,0.34198,1.314,46.3,Q1,106/575,27,100.00%,21.1,10.5,27
SCANDINAVIAN JOURNAL OF ECONOMICS,SCAND J ECON,WILEY,0347-0520,1467-9442,ECONOMICS,SSCI,2118,1.6,Q2,0.55,68.52%,276/617,1.4,Q3,1.6,0.3,272/617,Q2,56,0.00157,0.3505,0.838,55.3,Q2,177/575,34,100.00%,14.6,11.3,34
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,J REAL ESTATE FINANC,SPRINGER,0895-5638,1573-045X,ECONOMICS,SSCI,2108,1.8,Q2,0.54,28.93%,234/617,1.9,Q2,1.5,0.5,283/617,Q2,54.21,0.00129,0.28742,0.505,62.2,Q2,281/575,28,100.00%,12,10.5,28
